"","x"
"1","CanESM5_r1i1p2f1"
"2","CanESM5_r2i1p2f1"
"3","CanESM5_r3i1p2f1"
"4","CanESM5_r4i1p2f1"
"5","CanESM5_r5i1p2f1"
"6","CanESM5_r6i1p2f1"
"7","CanESM5_r7i1p2f1"
"8","CanESM5_r8i1p2f1"
"9","CanESM5_r9i1p2f1"
"10","CanESM5_r10i1p2f1"
"11","CanESM5_r11i1p2f1"
"12","CanESM5_r12i1p2f1"
"13","CanESM5_r13i1p2f1"
"14","CanESM5_r14i1p2f1"
"15","CanESM5_r15i1p2f1"
"16","CanESM5_r16i1p2f1"
"17","CanESM5_r17i1p2f1"
"18","CanESM5_r18i1p2f1"
"19","CanESM5_r19i1p2f1"
"20","CanESM5_r20i1p2f1"
"21","CESM1-1-CAM5-CMIP5_r1i1p1f1"
"22","CESM1-1-CAM5-CMIP5_r2i1p1f1"
"23","CESM1-1-CAM5-CMIP5_r3i1p1f1"
"24","CESM1-1-CAM5-CMIP5_r4i1p1f1"
"25","CESM1-1-CAM5-CMIP5_r5i1p1f1"
"26","CESM1-1-CAM5-CMIP5_r6i1p1f1"
"27","CESM1-1-CAM5-CMIP5_r7i1p1f1"
"28","CESM1-1-CAM5-CMIP5_r8i1p1f1"
"29","CESM1-1-CAM5-CMIP5_r9i1p1f1"
"30","CESM1-1-CAM5-CMIP5_r10i1p1f1"
"31","CESM1-1-CAM5-CMIP5_r11i1p1f1"
"32","CESM1-1-CAM5-CMIP5_r1i1p1f1"
"33","CESM1-1-CAM5-CMIP5_r13i1p1f1"
"34","CESM1-1-CAM5-CMIP5_r14i1p1f1"
"35","CESM1-1-CAM5-CMIP5_r15i1p1f1"
"36","CESM1-1-CAM5-CMIP5_r16i1p1f1"
"37","CESM1-1-CAM5-CMIP5_r17i1p1f1"
"38","CESM1-1-CAM5-CMIP5_r18i1p1f1"
"39","CESM1-1-CAM5-CMIP5_r19i1p1f1"
"40","CESM1-1-CAM5-CMIP5_r20i1p1f1"
"41","CMCC-CM2-SR5_r1i1p1f1"
"42","CMCC-CM2-SR5_r2i1p1f1"
"43","CMCC-CM2-SR5_r3i1p1f1"
"44","CMCC-CM2-SR5_r4i1p1f1"
"45","CMCC-CM2-SR5_r5i1p1f1"
"46","CMCC-CM2-SR5_r6i1p1f1"
"47","CMCC-CM2-SR5_r7i1p1f1"
"48","CMCC-CM2-SR5_r8i1p1f1"
"49","CMCC-CM2-SR5_r9i1p1f1"
"50","CMCC-CM2-SR5_r10i1p1f1"
"51","EC-Earth3_r1i1p1f1"
"52","EC-Earth3_r2i1p1f1"
"53","EC-Earth3_r3i1p1f1"
"54","EC-Earth3_r4i1p1f1"
"55","EC-Earth3_r5i1p1f1"
"56","EC-Earth3_r6i1p1f1"
"57","EC-Earth3_r7i1p1f1"
"58","EC-Earth3_r8i1p1f1"
"59","EC-Earth3_r9i1p1f1"
"60","EC-Earth3_r10i1p1f1"
"61","EC-Earth3_r1i4p1f1"
"62","EC-Earth3_r2i4p1f1"
"63","EC-Earth3_r3i4p1f1"
"64","EC-Earth3_r4i4p1f1"
"65","EC-Earth3_r5i4p1f1"
"66","EC-Earth3_r6i4p1f1"
"67","EC-Earth3_r7i4p1f1"
"68","EC-Earth3_r8i4p1f1"
"69","EC-Earth3_r9i4p1f1"
"70","EC-Earth3_r10i4p1f1"
"71","FGOALS-f3-L_r1i1p1f1"
"72","FGOALS-f3-L_r2i1p1f1"
"73","FGOALS-f3-L_r3i1p1f1"
"74","HadGEM3-GC31-MM_r1i1p1f2"
"75","HadGEM3-GC31-MM_r2i1p1f2"
"76","HadGEM3-GC31-MM_r3i1p1f2"
"77","HadGEM3-GC31-MM_r4i1p1f2"
"78","HadGEM3-GC31-MM_r5i1p1f2"
"79","HadGEM3-GC31-MM_r6i1p1f2"
"80","HadGEM3-GC31-MM_r7i1p1f2"
"81","HadGEM3-GC31-MM_r8i1p1f2"
"82","HadGEM3-GC31-MM_r9i1p1f2"
"83","HadGEM3-GC31-MM_r10i1p1f2"
"84","IPSL-CM6A-LR_r1i1p1f1"
"85","IPSL-CM6A-LR_r2i1p1f1"
"86","IPSL-CM6A-LR_r3i1p1f1"
"87","IPSL-CM6A-LR_r4i1p1f1"
"88","IPSL-CM6A-LR_r5i1p1f1"
"89","IPSL-CM6A-LR_r6i1p1f1"
"90","IPSL-CM6A-LR_r7i1p1f1"
"91","IPSL-CM6A-LR_r8i1p1f1"
"92","IPSL-CM6A-LR_r9i1p1f1"
"93","IPSL-CM6A-LR_r10i1p1f1"
"94","MIROC6_r1i1p1f1"
"95","MIROC6_r2i1p1f1"
"96","MIROC6_r3i1p1f1"
"97","MIROC6_r4i1p1f1"
"98","MIROC6_r5i1p1f1"
"99","MIROC6_r6i1p1f1"
"100","MIROC6_r7i1p1f1"
"101","MIROC6_r8i1p1f1"
"102","MIROC6_r9i1p1f1"
"103","MIROC6_r10i1p1f1"
"104","MPI-ESM1-2-HR_r1i1p1f1"
"105","MPI-ESM1-2-HR_r2i1p1f1"
"106","MPI-ESM1-2-HR_r3i1p1f1"
"107","MPI-ESM1-2-HR_r4i1p1f1"
"108","MPI-ESM1-2-HR_r5i1p1f1"
"109","MPI-ESM1-2-HR_r6i1p1f1"
"110","MPI-ESM1-2-HR_r7i1p1f1"
"111","MPI-ESM1-2-HR_r8i1p1f1"
"112","MPI-ESM1-2-HR_r9i1p1f1"
"113","MPI-ESM1-2-HR_r10i1p1f1"
"114","NorCPM1_r1i1p1f1"
"115","NorCPM1_r2i1p1f1"
"116","NorCPM1_r3i1p1f1"
"117","NorCPM1_r4i1p1f1"
"118","NorCPM1_r5i1p1f1"
"119","NorCPM1_r6i1p1f1"
"120","NorCPM1_r7i1p1f1"
"121","NorCPM1_r8i1p1f1"
"122","NorCPM1_r9i1p1f1"
"123","NorCPM1_r10i1p1f1"
"124","NorCPM1_r1i2p1f1"
"125","NorCPM1_r2i2p1f1"
"126","NorCPM1_r3i2p1f1"
"127","NorCPM1_r4i2p1f1"
"128","NorCPM1_r5i2p1f1"
"129","NorCPM1_r6i2p1f1"
"130","NorCPM1_r7i2p1f1"
"131","NorCPM1_r8i2p1f1"
"132","NorCPM1_r9i2p1f1"
"133","NorCPM1_r10i2p1f1"
